Season,Team,GoalsScored
09-10,Chelsea,103
10-11,Man United,78
11-12,Man City,93
12-13,Man United,86
13-14,Man City,102
14-15,Man City,83
15-16,Man City,71
16-17,Tottenham,86
17-18,Man City,106
18-19,Man City,95
